Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
Mrs.Bectors Food Specialities Ltd.,"Thu, Dec 24, 2020",288,594.2,106.32,187.62,226.04
Burger King India Ltd.,"Mon, Dec 14, 2020",60,135,125,66.38,10.67
Gland Pharma Ltd.,"Fri, Nov 20, 2020",1500,1819.55,21.3,1872.1,24.81
Equitas Small Finance Bank Ltd.,"Mon, Nov 2, 2020",33,32.8,-0.61,67.91,105.82
Likhitha Infrastructure Ltd.,"Thu, Oct 15, 2020",120,136.5,13.75,209.36,248.5
UTI Asset Management Co.Ltd.,"Mon, Oct 12, 2020",554,476.2,-14.04,970,75.11
Mazagon Dock Shipbuilders Ltd.,"Mon, Oct 12, 2020",145,171.95,18.59,2443.8,3274.76
Angel Broking Ltd.,"Mon, Oct 5, 2020",306,275.8,-9.87,299.1,879.58
Computer Age Management Services Ltd.,"Thu, Oct 1, 2020",1230,1401.6,13.95,784.65,218.6
Chemcon Speciality Chemicals Ltd.,"Thu, Oct 1, 2020",340,584.8,72,165.55,-51.31
Route Mobile Ltd.,"Mon, Sep 21, 2020",350,651.3,86.09,509.65,45.8
Happiest Minds Technologies Ltd.,"Thu, Sep 17, 2020",166,370.95,123.46,359.95,116.96
Mindspace Business Parks,"Fri, Aug 7, 2020",275,303.7,10.44,459.84,67.21
Yes Bank Ltd.,"Mon, Jul 27, 2020",12,12.3,2.5,22.06,83.75
Rossari Biotech Ltd.,"Thu, Jul 23, 2020",425,741.65,74.51,507.25,19.36
SBI Cards & Payment Services Ltd.,"Mon, Mar 16, 2020",755,681.4,-9.75,625.1,-17.19
